Model,N_asset_date,N_dates,Block_length_dates,Observed_Directional_Accuracy,Bootstrap_CI95_Low,Bootstrap_CI95_High,Majority_Class_Baseline,Bootstrap_p_vs_0.5,Bootstrap_p_vs_majority,Bootstrap_samples,Seed_count,Seed_observed_sd
"LSTM, 10 seeds",1476,164,10,0.49945799457994583,0.46680216802168023,0.5298102981029811,0.5013550135501355,0.94452,0.88084,50000,10,0.002253834679290789
"Simplified attention, 10 seeds",1476,164,10,0.499390243902439,0.4634146341463415,0.532520325203252,0.5013550135501355,0.96036,0.89932,50000,10,0.004644203381732965
XGBoost,1476,164,10,0.49525745257452575,0.45867208672086723,0.5230352303523035,0.5013550135501355,0.6524,0.5924,5000,,
Fixed ensemble,1476,164,10,0.4986449864498645,0.46070460704607047,0.5298102981029811,0.5013550135501355,0.8248,0.7716,5000,,
Equal ensemble,1476,164,10,0.4959349593495935,0.45799457994579945,0.5257452574525745,0.5013550135501355,0.7104,0.6508,5000,,
Train-mean,1476,164,10,0.5013550135501355,0.46612466124661245,0.5271002710027101,0.5013550135501355,0.8372,0.7772,5000,,
Lagged OLS,1476,164,10,0.5020325203252033,0.4735772357723577,0.5284552845528455,0.5013550135501355,0.934,1.0,5000,,
