Sector,Model,N,Seed_count,MAE_mean,MAE_sd,RMSE_mean,RMSE_sd,R2_mean,R2_sd,Directional_Accuracy_mean,Directional_Accuracy_sd
Technology,LSTM,820,10,0.04756922875961143,0.00014744992177214978,0.06327187986094826,0.0001682743817183026,0.0014964009978025716,0.005301690619096442,0.5034146341463415,0.01950202987243509
Technology,Simplified attention,820,10,0.04770178930926014,0.0003108063498426078,0.06344605858528315,0.00031772873789408533,-0.0040249199680139295,0.010099400823330952,0.5004878048780489,0.012531934223087942
Technology,XGBoost,820,1,0.047841515815433014,,0.06365342679311962,,-0.01057598127470083,,0.4853658536585366,
Technology,Fixed ensemble,820,10,0.047627852069021016,0.00010260691218617646,0.06336595417360015,0.00010617245857135144,-0.0014711649329023802,0.0033502241441967905,0.4963414634146341,0.01892755565337044
Energy,LSTM,656,10,0.03538938143358094,0.00018841620104079044,0.044637573883363806,0.00011062532883459353,-0.0040207187241568685,0.004982172676333365,0.4945121951219512,0.022267463779144864
Energy,Simplified attention,656,10,0.03541152320831724,0.00021041837313885784,0.04468101637323564,0.00016256165765093995,-0.005982373409546193,0.007337548035493343,0.49801829268292674,0.015842743011047215
Energy,XGBoost,656,1,0.03519376738911047,,0.044372441331727915,,0.00787645163502948,,0.5076219512195121,
Energy,Fixed ensemble,656,10,0.03532694634608679,0.0001446706241473796,0.044569960470137504,8.691085485802029e-05,-0.0009792947433362675,0.003908886512827056,0.4996951219512195,0.016757510699652426
