Model,N_asset_date,N_dates,Block_length_dates,Observed_Directional_Accuracy,Bootstrap_CI95_Low,Bootstrap_CI95_High,Majority_Class_Baseline,Bootstrap_p_vs_0.5,Bootstrap_p_vs_majority
LSTM,1476,164,10,0.489159891598916,0.45663956639566394,0.5121951219512195,0.5013550135501355,0.332,0.2804
Transformer,1476,164,10,0.48848238482384826,0.453929539295393,0.5203252032520326,0.5013550135501355,0.4748,0.4316
XGBoost,1476,164,10,0.49525745257452575,0.4600271002710027,0.521680216802168,0.5013550135501355,0.6312,0.566
Ensemble,1476,164,10,0.4986449864498645,0.4613821138211382,0.5304878048780488,0.5013550135501355,0.834,0.7768
Equal_weight_ensemble,1476,164,10,0.4959349593495935,0.45934959349593496,0.5271002710027101,0.5013550135501355,0.6908,0.6308
Train_mean,1476,164,10,0.5013550135501355,0.46612466124661245,0.5277777777777778,0.5013550135501355,0.8816,0.808
Lagged_return_OLS,1476,164,10,0.5020325203252033,0.4742547425474255,0.528472222222222,0.5013550135501355,0.9476,1.0
