Metric,LSTM,Transformer,XGBoost,Ensemble
Mean Error,0.042367365708783265,0.04311014052703397,0.042220294292622994,0.04229785953664077
Std Error,0.0365226279365094,0.03695044048681315,0.036666161005537115,0.0366599327908827
Max Error,0.2139863053142097,0.2216032099142097,0.2257540676142097,0.2186191323142097
Min Error,5.5048288774200115e-05,1.3168471287399765e-05,2.746707613449995e-05,2.6967111225799974e-05
Q1,0.01573775828513175,0.016487348393591124,0.015764657175158826,0.015538084817750302
Median,0.0323481935436228,0.03307090201263205,0.0322764400704686,0.0327197089533463
Q3,0.05944155051663267,0.060053479102359544,0.0594899650299001,0.05922935745200535
