seed,gamma,R2,MAE,Directional_Accuracy,SHAP_VIX_Change_Std_Normalized,SHAP_VIX_Change_Std_Rank,SHAP_Normalized_Sum,n_train,n_val,n_test
0,0.0,-0.002183790880600167,0.02620955457698494,0.4965635738831615,0.030233927071094513,14,0.9999999403953552,7776,1764,1746
0,0.005,0.009194101738896565,0.02657755931137712,0.5332187857961054,0.25258031487464905,1,1.0,7776,1764,1746
0,0.01,0.07080257209472773,0.02697260100508967,0.5698739977090492,0.3944554328918457,1,1.0,7776,1764,1746
0,0.02,0.2871118199463889,0.026952387226343754,0.6804123711340206,0.5671542882919312,1,1.0,7776,1764,1746
0,0.05,0.717124752257682,0.027468782462440167,0.8195876288659794,0.7287580370903015,1,1.0,7776,1764,1746
0,0.1,0.9075013800804255,0.02784174510969069,0.9066437571592211,0.8032461404800415,1,1.0,7776,1764,1746
1,0.0,-0.0034619386795873286,0.026263500029968957,0.5040091638029782,0.06333719193935394,5,1.0,7776,1764,1746
1,0.005,0.006099219314883997,0.026679247378904668,0.5492554410080184,0.24649806320667267,1,1.0,7776,1764,1746
1,0.01,0.0756118447307309,0.026878119497748973,0.6008018327605956,0.38441744446754456,1,1.0,7776,1764,1746
1,0.02,0.2950355848072189,0.027009209865410368,0.6872852233676976,0.5374479293823242,1,1.0,7776,1764,1746
1,0.05,0.7275971884316945,0.0271592711329777,0.8161512027491409,0.7691251635551453,1,1.0,7776,1764,1746
1,0.1,0.9093198292627662,0.027785877486082314,0.8997709049255441,0.819221556186676,1,1.0,7776,1764,1746
2,0.0,-0.0008142120225167471,0.026482993701546324,0.48396334478808706,0.04217352345585823,12,1.0000001192092896,7776,1764,1746
2,0.005,0.008848942454814046,0.026750676373792883,0.5332187857961054,0.30663761496543884,1,1.0,7776,1764,1746
2,0.01,0.06372978542681584,0.026990240878607748,0.6019473081328751,0.47565707564353943,1,1.0,7776,1764,1746
2,0.02,0.2827007197428332,0.026921126397769998,0.6895761741122566,0.5748798847198486,1,1.0,7776,1764,1746
2,0.05,0.7077642338368962,0.027604000313973944,0.8281786941580757,0.727213442325592,1,0.9999999403953552,7776,1764,1746
